model,Time/Error,Result,Clauses,Variables,Literals,Memory (kB),Depth,InvariantSize
197_egcd-ll_unwindbound10.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,262871.0,75484.0,699818.0,253520.0,2,inf
198_egcd3-ll_unwindbound2.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,350699.0,101319.0,928309.0,419876.0,4,inf
199_freire1_valuebound1.aig.out.txt,6.79,UN_SAT,95393.0,26781.0,275017.0,73544.0,4,192.0
19_mul9.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,44133.0,12777.0,115700.0,106928.0,1,inf
1_brp2.3.prop2-func-interl.aig.out.txt,7.99,UN_SAT,3546.0,969.0,9818.0,120396.0,50,573.0
200_hard-ll_valuebound20.aig.out.txt,1324.77,UN_SAT,120036.0,34390.0,319816.0,281884.0,15,927.0
201_lcm1_unwindbound2.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,46929.0,13461.0,126484.0,102496.0,2,inf
202_lcm1_valuebound100.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,46496.0,13469.0,124102.0,198012.0,1,inf
203_lcm2_unwindbound50.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,37354.0,10798.0,101926.0,93328.0,2,inf
204_s3_srvr_1b.cil.aig.out.txt,0.1,UN_SAT,2719.0,1001.0,8066.0,33192.0,9,73.0
205_elevator_spec1_product19.cil.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,321111.0,114954.0,1021614.0,1964720.0,9,inf
206_minepump_spec1_product14.cil.aig.out.txt,0.06,UN_SAT,13086.0,4711.0,40747.0,31504.0,4,3.0
207_minepump_spec2_product07.cil.aig.out.txt,0.16,UN_SAT,14211.0,5100.0,44057.0,32620.0,4,35.0
208_minepump_spec2_product54.cil.aig.out.txt,0.47,UN_SAT,20349.0,11050.0,63735.0,42820.0,5,97.0
209_minepump_spec3_product45.cil.aig.out.txt,0.08,UN_SAT,18677.0,7872.0,58668.0,35564.0,4,3.0
20_h_Arbiter.aig.out.txt,0.03,UN_SAT,180.0,125.0,476.0,23072.0,5,15.0
210_minepump_spec4_product16.cil.aig.out.txt,0.15,UN_SAT,13576.0,4840.0,42242.0,32116.0,4,36.0
211_psyco_io_1.aig.out.txt,0.18,UN_SAT,9081.0,3252.0,27851.0,31128.0,5,66.0
212_pals_lcr-var-start-time.5.1.ufo.UNBOUNDED.pals.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,9264.0,3036.0,30282.0,418468.0,9,inf
213_pals_lcr-var-start-time.6.1.ufo.UNBOUNDED.pals.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,11181.0,3631.0,36530.0,322292.0,7,inf
214_pals_opt-floodmax.4.3.ufo.UNBOUNDED.pals.aig.out.txt,1789.04,SAT,19050.0,6676.0,61004.0,832580.0,8,-inf
215_token_ring.03.cil-2.aig.out.txt,123.54,UN_SAT,34571.0,12663.0,105192.0,168396.0,12,2672.0
216_transmitter.10.cil.aig.out.txt,171.77,SAT,108230.0,40162.0,329266.0,361384.0,6,-inf
217_cancel_var_through_overflow.aig.out.txt,0.02,UN_SAT,221.0,144.0,646.0,18116.0,2,2.0
218_AllInterval-019.aig.out.txt,2940.59,SAT,89723.0,21248.0,277988.0,307280.0,2,-inf
219_yosyshq_appnote_123_cv32e40x-p019.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,94002.0,134314.0,264834.0,598444.0,12,inf
21_vis_arrays_bpbs_p2.aig.out.txt,0.03,SAT,1247.0,543.0,3472.0,13996.0,-1,-inf
220_yosyshq_appnote_123_cv32e40x-p033.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,94867.0,134587.0,267169.0,1022716.0,25,inf
221_yosyshq_appnote_123_cv32e40x-p039.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,94779.0,134566.0,266944.0,837764.0,21,inf
222_yosyshq_appnote_123_cv32e40x-p056.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,162781.0,155774.0,453770.0,652312.0,15,inf
223_yosyshq_appnote_123_cv32e40x-p061.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,159090.0,154723.0,442770.0,959464.0,10,inf
